,Year,Term,YearTerm,Subject,Number,Name,Description,Credit Hours,Section Info,Degree Attributes,Schedule Information,CRN,Section,Status Code,Part of Term,Section Status,Enrollment Status,Type,Start Time,End Time,Days of Week,Room,Building,Instructors
44,2020,Fall,2020-fa,ABE,223,ABE Principles: Machine Syst,"Machinery systems for off-road applications: internal combustion engines; fluid power; tractors, and traction; chemical application; grain harvesting. Prerequisite: One of MATH 220, MATH 221, MATH 234.",2 hours.,"Prerequisite: One of MATH 220, MATH 221, MATH 234.",,,58928,AB1,A,A,A,Open,LAB,8:00 AM,9:50 AM,T,ARR,Agricultural Engr Sciences Bld,"Grift, T"
48,2020,Fall,2020-fa,ABE,224,ABE Principles: Soil &amp; Water,"Engineering principles and methods of design and management of natural resources and environmental systems; watershed and hydrologic cycle; infiltration and surveying; runoff and erosion; water quality; non-point source pollution. Prerequisite: One of MATH 220, MATH 221, MATH 234.",2 hours.,"Prerequisite: One of MATH 220, MATH 221, MATH 234.",,,58932,AB1,A,B,A,Open,LAB,8:00 AM,9:50 AM,T,248,Agricultural Engr Sciences Bld,"Gambill, D;Kalita, P"
51,2020,Fall,2020-fa,ABE,341,Transport Processes in ABE,"Principles of transport processes involving momentum, heat, and mass as applied to biological systems in agriculture, food, energy, and the environment. Credit is not given for both ABE 341 and CHBE 421. Prerequisite: ABE 223, ABE 224, ABE 225, ABE 226, and PHYS 213.",3 hours.,"Credit is not given for both ABE 341 and CHBE 421. Prerequisite: ABE 223, ABE 224, ABE 225, ABE 226, and PHYS 213.",,,57598,KR,A,1,A,Open,LEC,11:00 AM,11:50 AM,MWF,204,Agricultural Engr Sciences Bld,"Rausch, K;Tian, J"
52,2020,Fall,2020-fa,ABE,397,Independent Study,"Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.",1 TO 4 hours.,May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.,,,50272,,A,1,A,Open (Restricted),IND,ARRANGED,,,,,
53,2020,Fall,2020-fa,ABE,424,Principles of Mobile Robotics,"The objective of this course is to prepare students in design, navigation, control, and autonomy of aerial and ground robots that operate in harsh, uncertain, and changing field environments. The course will cover three primary aspects of field robotics: perception (sensing), motion control, and data analytics, and bring everything together through labs involving ground robots and flying unmanned aircraft (drones). 4 undergraduate hours. 4 graduate hours. Approved for Letter and S/U grading. Prerequisite: MATH 221, MATH 225, and MATH 285 , or ABE 415, or ABE 440, IE 300, or STAT 400 or equiv, CS 125 or equiv., or graduate standing.",4 hours.,"4 undergraduate hours. 4 graduate hours. Approved for Letter and S/U grading. Prerequisite: MATH 221, MATH 225, and MATH 285 , or ABE 415, or ABE 440, IE 300, or STAT 400 or equiv, CS 125 or equiv., or graduate standing.",,,72148,GC,A,1,A,Open,LAB,2:00 PM,3:50 PM,W,166,Bevier Hall,"Chowdhary, G"
55,2020,Fall,2020-fa,ABE,430,Project Management,"Engineering team effectiveness; project definition; assessing related technologies; marketing and business planning related to engineering; budgeting and financial analyses of engineering projects; safety, ethics and environmental considerations; intellectual property; engineering proposal presentation. Same as TSM 430. 2 undergraduate hours. 2 graduate hours.",2 hours.,Same as TSM 430. 2 undergraduate hours. 2 graduate hours.,,,64780,AB1,A,1,A,CrossListOpen (Restricted),LAB,1:00 PM,2:50 PM,R,204,Agricultural Engr Sciences Bld,"Davidson, P"
59,2020,Fall,2020-fa,ABE,436,Renewable Energy Systems,"Renewable energy sources and applications, including solar, geothermal, wind, and biomass. Renewable energy's role in reducing air pollution and global climate change. Capstone project to design a system for converting renewable energy into thermal or electrical energy. 3 undergraduate hours. 4 graduate hours. Credit is not given for both ABE 436 and TSM 438. Prerequisite: PHYS 211.",3 OR 4 hours.,3 undergraduate hours. 4 graduate hours. Credit is not given for both ABE 436 and TSM 438. Prerequisite: PHYS 211.,,,68450,XW1,A,1,A,CrossListOpen,LAB,1:00 PM,2:50 PM,M,204,Agricultural Engr Sciences Bld,"Wang, X"
63,2020,Fall,2020-fa,ABE,440,Applied Statistical Methods I,"Same as ANSC 440, CPSC 440, FSHN 440, and NRES 440. See CPSC 440.",4 hours.,"Same as ANSC 440, CPSC 440, FSHN 440, and NRES 440. See CPSC 440.",,Students must register for one lab-discussion and one lecture section.,33575,AL1,A,1,A,CrossListOpen,LEC,3:30 PM,4:50 PM,TR,180,Bevier Hall,"Lipka, A"
69,2020,Fall,2020-fa,ABE,445,Statistical Methods,Same as ANSC 445 and NRES 445. See ANSC 445.,4 hours.,Same as ANSC 445 and NRES 445. See ANSC 445.,,,67023,A,A,1,A,CrossListOpen,ONL,ARRANGED,,,,,"Rodriguez-Zas, S"
70,2020,Fall,2020-fa,ABE,450,International Water Project I,First of two courses that assists an international rural community in establishing a sustainable water system. Serve a developing community effectively by working closely with alumni mentors and professional advisors on conceptual design development. Have the opportunity to travel to Honduras during Winter Break. Open to students in all majors. Same as LAST 440. 3 undergraduate hours. No graduate credit.,3 hours.,Same as LAST 440. 3 undergraduate hours. No graduate credit.,,,73558,AW1,A,1,A,CrossListOpen,LCD,11:00 AM,12:20 PM,TR,,,"Witmer, A"
71,2020,Fall,2020-fa,ABE,455,Erosion and Sediment Control,"Processes, estimation, and control of soil erosion by water, wind and resultant sedimentation. Upland, in-channel, urban, agricultural, disturbed (both military training and mining), and forested environments. Capstone experience in site planning and design. 2 undergraduate hours. 2 graduate hours. Prerequisite: CEE 350 or NRES 401; CEE 380 or NRES 201.",2 hours.,2 undergraduate hours. 2 graduate hours. Prerequisite: CEE 350 or NRES 401; CEE 380 or NRES 201.,,,49611,AB1,A,A,A,Open,LBD,10:00 AM,11:50 AM,TR,248,Agricultural Engr Sciences Bld,"Bhattarai, R"
72,2020,Fall,2020-fa,ABE,459,Drainage and Water Management,"Design, construction, performance, and maintenance of agricultural drainage systems to meet both production and water quality objectives. Modeling drainage systems. Principles of conservation drainage. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Credit or concurrent registration in TAM 335.",3 OR 4 hours.,3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Credit or concurrent registration in TAM 335.,,,29655,A3,A,1,A,CrossListOpen,LAB,3:00 PM,5:50 PM,W,242,Agricultural Engr Sciences Bld,"Cooke, R"
76,2020,Fall,2020-fa,ABE,463,Electrohydraulic Systems,"Engineering principles of electrohydraulic control systems related to off-road vehicles. Basics of fluid power systems, concepts of electrohydraulic systems and controls, analysis and design of electrohydraulic control systems, and applications of electrohydraulic control. Additional fees may apply. See Class Schedule. 3 undergraduate hours. 3 graduate hours. Prerequisite: ECE 110 or both ECE 205 and ECE 206; ME 310 or TAM 335.",3 hours.,Additional fees may apply. See Class Schedule. 3 undergraduate hours. 3 graduate hours. Prerequisite: ECE 110 or both ECE 205 and ECE 206; ME 310 or TAM 335.,,,56114,TEG,A,1,A,Open,LAB,1:00 PM,2:50 PM,R,248,Agricultural Engr Sciences Bld,"Grift, T"
78,2020,Fall,2020-fa,ABE,466,Engineering Off-Road Vehicles,Design and application of off-road vehicles for farm and construction use; thermodynamics of engines; measurement of power and efficiencies; power transmission and traction; chassis mechanics; operator environment. 3 undergraduate hours. 3 graduate hours. Credit is not given for both ABE 466 and TSM 464. Prerequisite: ME 300.,3 hours.,3 undergraduate hours. 3 graduate hours. Credit is not given for both ABE 466 and TSM 464. Prerequisite: ME 300.,,,31273,AB1,A,1,A,Open,LAB,3:00 PM,5:50 PM,T,242,Agricultural Engr Sciences Bld,"Hansen, A"
81,2020,Fall,2020-fa,ABE,483,Engrg Properties of Food Matls,"Physical properties of foods and biological materials; properties relating to equipment design and the sensing and control of food processes; thermal, electromagnetic radiation, rheological, and other mechanical properties. 3 undergraduate hours. 3 graduate hours. Prerequisite: TAM 251; either CHBE 421 or both ME 330 and TAM 335.",3 hours.,3 undergraduate hours. 3 graduate hours. Prerequisite: TAM 251; either CHBE 421 or both ME 330 and TAM 335.,,,29663,A,A,1,A,Open,LEC,3:00 PM,4:50 PM,TR,,,
82,2020,Fall,2020-fa,ABE,488,Bioprocessing Biomass for Fuel,Engineering and scientific principles governing bioprocessing of biomass for production of ethanol and other fermentation products. Process unit operations; conventional and alternative feed stock materials; recovery of value-added coproducts and other variables involved in producing fuel ethanol; process simulation; economic analysis. 3 undergraduate hours. 3 graduate hours. Prerequisite: CHBE 321 and TAM 335.,3 hours.,3 undergraduate hours. 3 graduate hours. Prerequisite: CHBE 321 and TAM 335.,,,57478,VS,A,1,A,Open,LEC,1:00 PM,2:20 PM,TR,23,"ACES Lib, Info & Alum Ctr","Kurambhatti, C;Singh, V"
83,2020,Fall,2020-fa,ABE,497,Independent Study,"Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. 1 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.",1 TO 4 hours.,1 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.,,,50183,,A,1,A,Open (Restricted),IND,ARRANGED,,,,,
84,2020,Fall,2020-fa,ABE,498,Special Topics,Subject offerings of new and developing areas of knowledge in agricultural and biological engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary to a maximum of 16 hours.,1 to 4 hours.,1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary to a maximum of 16 hours.,,,10169,,A,1,A,Open (Restricted),IND,ARRANGED,,,,,
93,2020,Fall,2020-fa,ABE,501,Graduate Research I,"Basic research orientation, research methods, presentation skills, laboratory practices, case studies, and professional and ethical conduct.",1 hours.,,,,39806,A,A,1,A,CrossListOpen,LCD,1:00 PM,1:50 PM,F,248,Agricultural Engr Sciences Bld,"Zhang, Y"
94,2020,Fall,2020-fa,ABE,594,Graduate Seminar,Presentations of thesis research by graduate students; other presentations on teaching or current research issues related to agricultural and biological engineering. Approved for S/U grading only. May be repeated up to a maximum of 6 times.,0 hours.,Approved for S/U grading only. May be repeated up to a maximum of 6 times.,,,47356,AL1,A,1,A,CrossListOpen,LCD,12:00 PM,12:50 PM,F,204,Agricultural Engr Sciences Bld,"Chowdhary, G"
95,2020,Fall,2020-fa,ABE,597,Independent Study,Individual investigations or studies of any phases of agricultural engineering selected by the student and approved by the advisor and the faculty member who will supervise the study. May be repeated to a maximum of 16 hours. Prerequisite: Consent of instructor.,1 TO 4 hours.,May be repeated to a maximum of 16 hours. Prerequisite: Consent of instructor.,,,10174,,A,1,A,Open (Restricted),IND,ARRANGED,,,,,
96,2020,Fall,2020-fa,ABE,599,Thesis Research,Approved for S/U grading only. May be repeated.,0 TO 16 hours.,Approved for S/U grading only. May be repeated.,,,10177,,A,1,A,Open (Restricted),IND,ARRANGED,,,,,
97,2020,Fall,2020-fa,ACCY,199,Undergraduate Open Seminar,May be repeated.,1 TO 5 hours.,May be repeated.,,,10033,,A,1,A,Open (Restricted),IND,ARRANGED,,,,,
99,2020,Fall,2020-fa,ACCY,200,Fundamentals of Accounting,Survey course in the principles of accounting for students registered in schools and colleges other than the College of Business. Credit is not given for both ACCY 200 and either ACCY 201 or ACCY 202. Prerequisite: Sophomore standing.,3 hours.,Credit is not given for both ACCY 200 and either ACCY 201 or ACCY 202. Prerequisite: Sophomore standing.,,,29670,OL,A,1,A,Open (Restricted),ONL,ARRANGED,,,,,
100,2020,Fall,2020-fa,ACCY,201,Accounting and Accountancy I,"Develops a foundation for understanding and analyzing how accounting information is generated and interpreted by both external and internal decision makers. Students will begin by identifying the information conveyed in each of the basic financial statements and understand the way that this information is used by different external decision makers. Students will then focus on information used by management, with an emphasis on analysis to facilitate and guide management decision making, planning and control. Credit is not given for both ACCY 201 and ACCY 200. Prerequisite: Prior to enrollment in ACCY 201, students must: 1) have completed either ECON 102 or ECON 103; AND 2) have completed or be concurrently enrolled in the remaining ECON 102 or ECON 103 course.",3 hours.,"Credit is not given for both ACCY 201 and ACCY 200. Prerequisite: Prior to enrollment in ACCY 201, students must: 1) have completed either ECON 102 or ECON 103; AND 2) have completed or be concurrently enrolled in the remaining ECON 102 or ECON 103 course.",,Students must register for one lecture and one discussion.,36478,AD1,A,1,A,Open (Restricted),DIS,8:00 AM,8:50 AM,F,2011,Business Instructional Fac,
123,2020,Fall,2020-fa,ACCY,202,Accounting and Accountancy II,"Further develops the student's understanding of accrual accounting, the goals and objectives of financial reporting, the information needs of end users, the qualities of useful information, as well as the financial statements and financial statement elements. Students will analyze and record progressively more complex transactions, continuing to take the economic event from inception to reporting. Recurring themes and foundational concepts are emphasized such that students can develop intuition for accounting measurement and reporting. Credit is not given for both ACCY 202 and ACCY 200. Prerequisite: ACCY 201 or equivalent.",3 hours.,Credit is not given for both ACCY 202 and ACCY 200. Prerequisite: ACCY 201 or equivalent.,,Students must register for one discussion and one lecture section.,36552,AD1,A,1,A,Open (Restricted),DIS,8:00 AM,8:50 AM,F,3057,Business Instructional Fac,
135,2020,Fall,2020-fa,ACCY,290,Prof Internship in Accountancy,"Formalized learning experience in combination with practice of accounting while engaged in an internship with a public accounting firm, business, or other off-campus organization; prior approval of learning plan and a summary report of learning experience are required. Approved for Letter and S/U grading. May be repeated in subsequent terms to a maximum of 3 hours. Prerequisite: Open to Department of Accountancy students; completion of ACCY 201 and ACCY 202 (or equivalent); and consent of department.",0 TO 3 hours.,Approved for Letter and S/U grading. May be repeated in subsequent terms to a maximum of 3 hours. Prerequisite: Open to Department of Accountancy students; completion of ACCY 201 and ACCY 202 (or equivalent); and consent of department.,,,45794,O,A,1,A,Open (Restricted),CNF,ARRANGED,,,,,
136,2020,Fall,2020-fa,ACCY,301,Atg Measurement &amp; Disclosure,"Introduction to measurement and reporting of organizational performance for strategic and operational purposes with a focus on a variety of financial and non-financial performance measures suitable for both internal and external decision-making. Projects, together with a series of practical workshops, facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. Prerequisite: ACCY 202 or equivalent and recommend concurrent enrollment in ACCY 302 for Accountancy majors.",3 hours.,Prerequisite: ACCY 202 or equivalent and recommend concurrent enrollment in ACCY 302 for Accountancy majors.,,,36577,AE1,A,1,A,Open (Restricted),LCD,8:00 AM,9:20 AM,MW,2063,Business Instructional Fac,
144,2020,Fall,2020-fa,ACCY,302,Decision Making for Atg,"We will develop and apply a framework to better understand the specific types of accounting information managers need to make key operational and strategic decisions. Utilizing business case studies and real-world projects, the course will also develop skills in gathering, visualizing, and statistically analyzing this accounting information to inform these important decisions. Prerequisite: ACCY 202 or equivalent; BADM 210 or concurrent enrollment; and recommend concurrent enrollment in ACCY 301 for Accountancy majors.",3 hours.,Prerequisite: ACCY 202 or equivalent; BADM 210 or concurrent enrollment; and recommend concurrent enrollment in ACCY 301 for Accountancy majors.,,,36610,AE1,A,1,A,Open (Restricted),LCD,8:00 AM,9:20 AM,TR,2005,Business Instructional Fac,
153,2020,Fall,2020-fa,ACCY,303,Accounting Institutions and Regulation,"Measurement and reporting of firm's liabilities and shareholders' equity. Topics include current liabilities, contingencies, subsequent events, bonds, leases, pensions, equity issuance and repurchase, dividends, and equity-based compensation. Prerequisite: ACCY 301 and FIN 221.",3 hours.,Prerequisite: ACCY 301 and FIN 221.,,,36692,AE1,A,1,A,Open (Restricted),LCD,8:00 AM,9:20 AM,MW,152,Wohlers Hall,
160,2020,Fall,2020-fa,ACCY,304,Accounting Control Systems,"Explores an important framework that highlights the vital roles accounting control systems play in shaping and implementing organizational strategy. Components of this framework include internal controls, organizational missions and values, codes of ethics, performance measurement, evaluation, and reward systems. Case studies, class discussions, group exercises, and field research projects emphasize critical reasoning, data analytics, teamwork, and written and oral communication. Prerequisite: ACCY 301 and ACCY 302.",3 hours.,Prerequisite: ACCY 301 and ACCY 302.,,,31317,AE1,A,1,A,Open (Restricted),LCD,8:00 AM,9:20 AM,TR,166,Wohlers Hall,
166,2020,Fall,2020-fa,ACCY,312,Principles of Taxation,"Introduction to the United States federal income tax system with an emphasis on income tax determination and the taxation of property transactions. Topics include the tax environment, tax provisions relevant to businesses, employees and business owners. Projects facilitate self-discovery of knowledge and envelopment of a variety of professional skills and attitudes. Prerequisite: ACCY 202 or equivalent.",3 hours.,Prerequisite: ACCY 202 or equivalent.,,,31321,A,A,1,A,Closed,LCD,11:00 AM,12:20 PM,MW,3001,Business Instructional Fac,
173,2020,Fall,2020-fa,ACCY,321,Principles of Public Policy,"Same as ACE 321, BADM 303, and PS 321. See PS 321.",3 hours.,"Same as ACE 321, BADM 303, and PS 321. See PS 321.",,,61668,H,A,1,A,Closed,LEC,11:00 AM,11:50 AM,MWF,1092,Lincoln Hall,"Hinchliffe, J"
175,2020,Fall,2020-fa,ACCY,398,Practical Problems in Atg,"Course covers the professional standards relating to corporate financial reporting, taxation, auditing and public sector reporting. Serves as a review course for the Uniform Certified Public Accountant (CPA) Examination. Additional fees may apply. See Class Schedule. Approved for Letter and S/U grading. May be repeated up to 16 hours in separate terms, if topics vary. Credit is not given towards degree requirements. Prerequisite: Consent of the Department. Intended for students enrolled in the BS in Accountancy, Certificate in Accountancy, MAS, and MSA programs. Students from other UIUC programs must demonstrate that they have taken courses in financial accounting (beyond introductory level), cost/managerial accounting (beyond introductory level), auditing, and taxation.",0 TO 16 hours.,"Additional fees may apply. See Class Schedule. Approved for Letter and S/U grading. May be repeated up to 16 hours in separate terms, if topics vary. Credit is not given towards degree requirements. Prerequisite: Consent of the Department. Intended for students enrolled in the BS in Accountancy, Certificate in Accountancy, MAS, and MSA programs. Students from other UIUC programs must demonstrate that they have taken courses in financial accounting (beyond introductory level), cost/managerial accounting (beyond introductory level), auditing, and taxation.",,,61229,A,A,1,A,Open (Restricted),ONL,ARRANGED,,,,,
180,2020,Fall,2020-fa,ACCY,405,Assurance and Attestation,"Conceptual introduction to diverse means by which assurers improve the quality of information used by third parties for contracting purposes, with emphases on the credibility- and relevance-enhancement properties of assurers' services. Topics include the economics of assurance and attestation, and concepts including independence, risk, evidence, and control. Projects facilitate self-discovery of knowledge and development of professional skills and attitudes. 3 undergraduate hours. 3 graduate hours. Prerequisite: ACCY 304 or consent of department.",3 hours.,3 undergraduate hours. 3 graduate hours. Prerequisite: ACCY 304 or consent of department.,,Students must register for one lecture/discussion section and one lab/discussion section. Not for graduate credit.,36754,AE1,A,1,A,Closed,LCD,9:30 AM,10:50 AM,MW,2005,Business Instructional Fac,
187,2020,Fall,2020-fa,ACCY,410,Advanced Financial Reporting,"Current authoritative accounting standards and applications to accounting practice. Topics do not represent the full range of financial reporting issues, but are selected based on relevance of the underlying business transaction, complexity of the topic, consistency of applicable standard with underlying reporting concepts, and transferability of the standard to other accounting issues.  3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: ACCY 303 or consent of department.",3 OR 4 hours.,3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: ACCY 303 or consent of department.,,,61231,B3,A,1,A,CrossListOpen (Restricted),LCD,9:30 AM,10:50 AM,TR,3003,Business Instructional Fac,
197,2020,Fall,2020-fa,ACCY,451,Advanced Income Tax Problems,"An introduction to U.S. federal taxation of business entities including taxable corporations and flow through entities (partnerships, Subchapter S corporations, and limited liability companies). Practical problems facilitate self-discovery of technical tax knowledge and the development of data analysis skills. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Senior standing and ACCY 312.",3 OR 4 hours.,3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Senior standing and ACCY 312.,,,49130,A3,A,1,A,CrossListOpen (Restricted),LCD,11:00 AM,12:20 PM,TR,2001,Business Instructional Fac,
207,2020,Fall,2020-fa,ACCY,499,Senior Research,"Research and readings course for students majoring in accountancy. May be taken by students in the college honors program in partial fulfillment of the honors requirements. 2 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 6 hours. Prerequisite: Cumulative grade-point average of 3.0., honors in the junior year, or consent of department; senior standing.",2 TO 4 hours.,"2 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 6 hours. Prerequisite: Cumulative grade-point average of 3.0., honors in the junior year, or consent of department; senior standing.",,,10038,,A,1,A,Open (Restricted),IND,ARRANGED,,,,,
208,2020,Fall,2020-fa,ACCY,500,"Accounting Measurement, Reporting, and Control","A managerial perspective of the nature and role of accounting in organizational measurement, reporting and control processes. 2 or 4 graduate hours. No professional credit. Prerequisite: Enrollment in a non-accountancy masters program in business or consent of department.",2 OR 4 hours.,2 or 4 graduate hours. No professional credit. Prerequisite: Enrollment in a non-accountancy masters program in business or consent of department.,,,49761,ADV,A,A,A,Open (Restricted),LCD,2:00 PM,3:20 PM,TR,241,Wohlers Hall,
214,2020,Fall,2020-fa,ACCY,501,Accounting Analysis I,"Addresses the conceptual framework and financial statements--balance sheet, income statement and the statement of cash flows. It also provides in-depth analysis of accounting issues related to the measurement, recognition and disclosure of current and non-current assets, and revenue recognition. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Prerequisite: Enrollment in graduate degree program or consent of department.",2 OR 4 hours.,2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Prerequisite: Enrollment in graduate degree program or consent of department.,,,73666,C,A,1,A,Closed,LCD,12:30 PM,1:50 PM,MW,,,
