,Year,Term,YearTerm,Subject,Number,Name,Description,Credit Hours,Degree Attributes,Schedule Information,Class,GPA
42,2020,Fall,2020-fa,ACCY,290,Prof Internship in Accountancy,"Formalized learning experience in combination with practice of accounting while engaged in an internship with a public accounting firm, business, or other off-campus organization; prior approval of learning plan and a summary report of learning experience are required. Approved for Letter and S/U grading. May be repeated in subsequent terms to a maximum of 3 hours. Prerequisite: Open to Department of Accountancy students; completion of ACCY 201 and ACCY 202 (or equivalent); and consent of department.",0 TO 3 hours.,,,ACCY290,
43,2020,Fall,2020-fa,ACCY,301,Atg Measurement &amp; Disclosure,"Introduction to measurement and reporting of organizational performance for strategic and operational purposes with a focus on a variety of financial and non-financial performance measures suitable for both internal and external decision-making. Projects, together with a series of practical workshops, facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. Prerequisite: ACCY 202 or equivalent and recommend concurrent enrollment in ACCY 302 for Accountancy majors.",3 hours.,,,ACCY301,3.34
44,2020,Fall,2020-fa,ACCY,302,Decision Making for Atg,"We will develop and apply a framework to better understand the specific types of accounting information managers need to make key operational and strategic decisions. Utilizing business case studies and real-world projects, the course will also develop skills in gathering, visualizing, and statistically analyzing this accounting information to inform these important decisions. Prerequisite: ACCY 202 or equivalent; BADM 210 or concurrent enrollment; and recommend concurrent enrollment in ACCY 301 for Accountancy majors.",3 hours.,,,ACCY302,3.33
45,2020,Fall,2020-fa,ACCY,303,Accounting Institutions and Regulation,"Measurement and reporting of firm's liabilities and shareholders' equity. Topics include current liabilities, contingencies, subsequent events, bonds, leases, pensions, equity issuance and repurchase, dividends, and equity-based compensation. Prerequisite: ACCY 301 and FIN 221.",3 hours.,,,ACCY303,3.34
46,2020,Fall,2020-fa,ACCY,304,Accounting Control Systems,"Explores an important framework that highlights the vital roles accounting control systems play in shaping and implementing organizational strategy. Components of this framework include internal controls, organizational missions and values, codes of ethics, performance measurement, evaluation, and reward systems. Case studies, class discussions, group exercises, and field research projects emphasize critical reasoning, data analytics, teamwork, and written and oral communication. Prerequisite: ACCY 301 and ACCY 302.",3 hours.,,,ACCY304,3.36
47,2020,Fall,2020-fa,ACCY,312,Principles of Taxation,"Introduction to the United States federal income tax system with an emphasis on income tax determination and the taxation of property transactions. Topics include the tax environment, tax provisions relevant to businesses, employees and business owners. Projects facilitate self-discovery of knowledge and envelopment of a variety of professional skills and attitudes. Prerequisite: ACCY 202 or equivalent.",3 hours.,,,ACCY312,3.28
48,2020,Fall,2020-fa,ACCY,321,Principles of Public Policy,"Same as ACE 321, BADM 303, and PS 321. See PS 321.",3 hours.,,,ACCY321,
49,2020,Fall,2020-fa,ACCY,398,Practical Problems in Atg,"Course covers the professional standards relating to corporate financial reporting, taxation, auditing and public sector reporting. Serves as a review course for the Uniform Certified Public Accountant (CPA) Examination. Additional fees may apply. See Class Schedule. Approved for Letter and S/U grading. May be repeated up to 16 hours in separate terms, if topics vary. Credit is not given towards degree requirements. Prerequisite: Consent of the Department. Intended for students enrolled in the BS in Accountancy, Certificate in Accountancy, MAS, and MSA programs. Students from other UIUC programs must demonstrate that they have taken courses in financial accounting (beyond introductory level), cost/managerial accounting (beyond introductory level), auditing, and taxation.",0 TO 16 hours.,,,ACCY398,3.94
50,2020,Fall,2020-fa,ACCY,405,Assurance and Attestation,"Conceptual introduction to diverse means by which assurers improve the quality of information used by third parties for contracting purposes, with emphases on the credibility- and relevance-enhancement properties of assurers' services. Topics include the economics of assurance and attestation, and concepts including independence, risk, evidence, and control. Projects facilitate self-discovery of knowledge and development of professional skills and attitudes. 3 undergraduate hours. 3 graduate hours. Prerequisite: ACCY 304 or consent of department.",3 hours.,,Students must register for one lecture/discussion section and one lab/discussion section. Not for graduate credit.,ACCY405,3.39
51,2020,Fall,2020-fa,ACCY,410,Advanced Financial Reporting,"Current authoritative accounting standards and applications to accounting practice. Topics do not represent the full range of financial reporting issues, but are selected based on relevance of the underlying business transaction, complexity of the topic, consistency of applicable standard with underlying reporting concepts, and transferability of the standard to other accounting issues.  3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: ACCY 303 or consent of department.",3 OR 4 hours.,,,ACCY410,3.32
52,2020,Fall,2020-fa,ACCY,451,Advanced Income Tax Problems,"An introduction to U.S. federal taxation of business entities including taxable corporations and flow through entities (partnerships, Subchapter S corporations, and limited liability companies). Practical problems facilitate self-discovery of technical tax knowledge and the development of data analysis skills. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Senior standing and ACCY 312.",3 OR 4 hours.,,,ACCY451,3.34
53,2020,Fall,2020-fa,ACCY,499,Senior Research,"Research and readings course for students majoring in accountancy. May be taken by students in the college honors program in partial fulfillment of the honors requirements. 2 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 6 hours. Prerequisite: Cumulative grade-point average of 3.0., honors in the junior year, or consent of department; senior standing.",2 TO 4 hours.,,,ACCY499,
54,2020,Fall,2020-fa,ACCY,500,"Accounting Measurement, Reporting, and Control","A managerial perspective of the nature and role of accounting in organizational measurement, reporting and control processes. 2 or 4 graduate hours. No professional credit. Prerequisite: Enrollment in a non-accountancy masters program in business or consent of department.",2 OR 4 hours.,,,ACCY500,3.64
55,2020,Fall,2020-fa,ACCY,501,Accounting Analysis I,"Addresses the conceptual framework and financial statements--balance sheet, income statement and the statement of cash flows. It also provides in-depth analysis of accounting issues related to the measurement, recognition and disclosure of current and non-current assets, and revenue recognition. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Prerequisite: Enrollment in graduate degree program or consent of department.",2 OR 4 hours.,,,ACCY501,3.55
56,2020,Fall,2020-fa,ACCY,502,Accounting Analysis II,"Measurement and reporting of firm's liabilities and shareholders' equity. Topics include contingencies, subsequent events, bonds, leases, deferred taxes, pensions, equity transactions, and earning per share. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Prerequisite: ACCY 501 or equivalent; enrollment in graduate degree program or consent of department.",2 OR 4 hours.,,,ACCY502,3.58
57,2020,Fall,2020-fa,ACCY,504,Auditing,"Introduction to conceptual and applied material in the field of auditing. Emphasizes the audit process, reporting, and professional responsibilities. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Prerequisite: Credit or concurrent registration in ACCY 502, or equivalent; enrollment in graduate degree program or consent of department.",2 OR 4 hours.,,,ACCY504,3.51
58,2020,Fall,2020-fa,ACCY,505,Federal Taxation,Introduction to historical and conceptual as well as applied material in the accounting area of federal taxation; emphasizes the provisions of the tax law relevant to accounting measurement methods. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Credit is not given for both ACCY 505 and ACCY 312. Prerequisite: Enrollment in graduate degree program or consent of department.,2 OR 4 hours.,,,ACCY505,3.64
59,2020,Fall,2020-fa,ACCY,506,Advanced Topics in Accounting,"Covers current authoritative accounting standards and applications to accounting practice. Topics include accounting for business combinations, the preparation of consolidated financial statements, and other advanced financial reporting topics. 4 graduate hours. No professional credit. Credit is not given for both ACCY 410 and ACCY 506. Prerequisite: ACCY 501, and credit or concurrent enrollment in ACCY 502.",4 hours.,,,ACCY506,3.37
60,2020,Fall,2020-fa,ACCY,510,Financial Reporting Standards,"Stakeholders' needs for reliable and relevant information about the performance of firms, as well as managers; economic self-interests, influence managers' selection of accounting policies and financial reporting methods. This course selectively surveys both academic research and professional standards to focus on the measurement, classification and disclosure of financial transactions. Cases, class discussion and research projects emphasize independent thinking, group processes, and communication. 4 graduate hours. No professional credit. Prerequisite: ACCY 410 and enrollment in the BS/MAS in Accountancy program or consent of department.",4 hours.,,,ACCY510,3.48
61,2020,Fall,2020-fa,ACCY,512,Data Analytics for Management Accounting,"Data analytics incorporated into management decision making, including planning, cost management, and management control system design. Focuses on developing your skills of gathering and analyzing data for internal decision making purposes. 4 graduate hours. No professional credit. Prerequisite: Enrollment in graduate accounting degree program or consent of department.",4 hours.,,,ACCY512,3.76
62,2020,Fall,2020-fa,ACCY,515,Auditing &amp; Assurance Standards,"Role of professional and ethical standards in the conduct of auditing and assurance services and the role of auditing and assurance services in corporate governance and capital markets. This course selectively surveys both academic and professional literature to focus on the conduct of auditing and assurance services. Cases, class discussion, group projects, and data analytics using Tableau emphasize the importance of critical thinking, group processes, and communication for professional accounting practice. Real-world scenarios assist in implementing auditing standards. 4 graduate hours. No professional credit. Prerequisite: ACCY 405 and enrollment in the BS/MS in Accountancy program or consent of department.",4 hours.,,,ACCY515,3.45
63,2020,Fall,2020-fa,ACCY,517,Financial Statement Analysis,Examines tools and techniques of financial statement analysis from the perspective of investors and creditors; emphasizes theoretical and empirical properties of financial ratios. 4 graduate hours. No professional credit. Prerequisite: ACCY 410 or concurrent enrollment; or ACCY 500 or equivalent; or ACCY 502 or equivalent; and enrollment in graduate degree program or consent of department.,4 hours.,,,ACCY517,3.54
64,2020,Fall,2020-fa,ACCY,518,Financial Statement Fraud,"Introduction to fraud examination with an emphasis on financial statement fraud. The course provides a comprehensive introduction to fraud examination. The topics addressed in the course include the unique characteristics of fraud examinations and a comparison to financial statement audits, the characteristics that should be possessed by fraud examiners, an overview of the fraud examination process, the nature and extent of fraud, an introduction to the taxonomy of financial statement frauds, techniques for evidence collection including interview techniques, Benford's law, and the development of fraud reports. 4 graduate hours. No professional credit. Prerequisite: Enrollment in graduate accounting degree program or consent of the department. This class is restricted to MAS and MSA students: Accountancy-UIUC.",4 hours.,,,ACCY518,3.97
65,2020,Fall,2020-fa,ACCY,550,Multistate Taxation,"Will examine state and local tax laws prevalent in the United States today. The course will consider the historical progression of state and local taxation, the power of states to tax (and the limitations on that power), and planning strategies for minimizing the impact of state and local taxation. Income taxes are emphasized; however, other taxes such as sales and use taxes and property taxes will be discussed. 2 graduate hours. No professional credit. Prerequisite: ACCY 451 or equivalent, enrollment in a graduate accounting degree program or consent of the department.",2 hours.,,,ACCY550,3.48
66,2020,Fall,2020-fa,ACCY,551,Corporate Income Taxation,"Analyzes the tax treatment, problems, planning techniques, and underlying governmental policies involving corporations and their shareholders; coverage includes formations, operations, distributions, liquidations, reorganizations, and affiliations. 4 graduate hours. No professional credit. Prerequisite: ACCY 451, credit or concurrent enrollment in ACCY 556, or equivalent or consent of department.",4 hours.,,,ACCY551,3.37
67,2020,Fall,2020-fa,ACCY,556,Tax Research,"Provides the student with a working knowledge of tax research methodology utilized by accountants in public practice. Aims to develop the student's capacity for either solving or defending his/her position with respect to a particular tax issue. 1 to 4 graduate hours. No professional credit. May be repeated with consent of the department. Prerequisite: Credit or concurrent enrollment in ACCY 451, or equivalent or consent of department.",1 TO 4 hours.,,,ACCY556,3.57
68,2020,Fall,2020-fa,ACCY,569,Data Driven Decisions in Accounting,"This course prepares accounting students to use analytic software to explore, visualize, and statistically analyze accounting data. 2 graduate hours. No professional credit.",2 hours.,,,ACCY569,3.55
69,2020,Fall,2020-fa,ACCY,570,Data Analytics Foundations for Accountancy,"Concepts and foundations underlying data analytics for accounting. Provides fundamental knowledge of how to acquire, organize, synthesize and analyze (possibly large) volumes of data to address questions and problems. After completing this course, students should (1) have a foundational understanding of the techniques underlying data analytics, (2) recognize scenarios and identify appropriate tools for various types of data analysis and (3) use Python and Tableau to perform data analysis. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Prerequisite: Enrollment in graduate accounting program or consent of the department.",2 or 4 hours.,,,ACCY570,3.83
70,2020,Fall,2020-fa,ACCY,578,Accounting Analytics Applications,"Develops students’ knowledge regarding the role, methods, and implications of business and data analytics in accounting via real-world applications of fundamental and advanced analytics principles. Application opportunities span multiple areas of accounting, including audit, fraud identification and detection, financial accounting, and managerial accounting. After engaging in this course, students should (1) have a foundational understanding of the role of business / data analytics in accounting and (2) be able to apply this knowledge to real-world clients, business decisions, etc. 1 graduate hour. No professional credit. May be repeated in the same or separate semesters to a maximum of 4 hours. Prerequisite: Some sections require the completion of ACCY 576 (or equivalent), and are denoted as requiring this prerequisite.",1 hours.,,,ACCY578,
71,2020,Fall,2020-fa,ACCY,592,Introduction to Accounting Research,"Comparative study of alternative methodologies and conceptual frameworks and their application to selected current research issues central to the development of accounting thought, both theoretical and empirical. 4 graduate hours. No professional credit. Prerequisite: Courses in behavioral science, mathematics, and economics; or equivalent background and admission to the accountancy Ph.D. program; or consent of department.",4 hours.,,,ACCY592,
72,2020,Fall,2020-fa,ACCY,593,Special Research Problems,"Individual investigations or research projects selected by the students, subject to approval by the graduate adviser and the executive officer of the Department. May be repeated in the same or separate terms. Prerequisite: Enrollment in graduate accounting degree program or consent of department.",1 TO 8 hours.,,,ACCY593,3.71
73,2020,Fall,2020-fa,ACCY,599,Thesis Research,Individual direction and guidance in writing theses; seminar discussion of progress made. Approved for S/U grading only. May be repeated.,0 TO 16 hours.,,,ACCY599,
74,2020,Fall,2020-fa,ACE,100,Introduction to Applied Microeconomics,"Principles of microeconomics; demand, production, supply, elasticity, markets, and trade are presented and used in the analysis of decisions of individuals relating to agricultural and food production, consumption, and natural resource use. Credit is not given for ACE 100 if credit for ECON 102 has been earned.",4 hours.,Social & Beh Sci - Soc Sci course.,Students must register for one discussion and one lecture section.,ACE100,2.89
75,2020,Fall,2020-fa,ACE,161,Microcomputer Applications,Instruction and practice in solving data-related problems with microcomputers and general purpose software packages.,3 hours.,,Weekly participation is required in a laboratory discussion and in 1-2 hours (unscheduled) on microcomputer projects.,ACE161,3.6
76,2020,Fall,2020-fa,ACE,199,Undergraduate Open Seminar,"Experimental course on a special topic in agricultural and consumer economics. Topic may not be repeated except in accordance with the Code. Approved for Letter and S/U grading. May be repeated if topics vary, up to 5 hours in the same semester, to a maximum of 12 hours.",1 TO 5 hours.,,,ACE199,3.73
77,2020,Fall,2020-fa,ACE,210,Environmental Economics,"Economic issues surrounding environmental quality, including: costs and benefits of environmental protection; economics of environmental policies (such as those dealing with toxics, water, and air pollution, and municipal solid waste); and economics of international environmental problems (such as ozone depletion and climate change). Same as ECON 210, ENVS 210, NRES 210, and UP 210.",3 hours.,Social & Beh Sci - Soc Sci course.,,ACE210,3.27
78,2020,Fall,2020-fa,ACE,222,Agricultural Marketing,"Examines factors affecting the size of the market for agricultural products and the scope of marketing activities; functions and services performed; pricing agricultural products, including the nature and causes of price fluctuations; and costs of marketing and efforts to reduce costs and improve the marketing system.",3 hours.,,,ACE222,3.26
79,2020,Fall,2020-fa,ACE,240,Personal Financial Planning,"Examines principles of financial planning applied to individuals and households, with attention to organizing and analyzing financial information, budgeting, acquiring financial assets, managing credit, planning for taxes, investments, risk management, retirement, and estate planning. Prerequisite: Sophomore standing or consent of instructor.",3 hours.,,,ACE240,3.37
80,2020,Fall,2020-fa,ACE,251,The World Food Economy,"Examination of global food production, consumption, and trade; problems of hunger and population; the role of agricultural development, trade, and aid in relieving hunger. Prerequisite: ACE 100 or ECON 102 or consent of instructor.",3 hours.,"Cultural Studies - Non-West, and Social & Beh Sci - Soc Sci course.",,ACE251,3.24
81,2020,Fall,2020-fa,ACE,261,Applied Statistical Methods,"Statistical methods and computer applications for agricultural and consumer economics, including descriptive statistics, probability distribution, interval estimation, hypothesis testing, analysis of variance, simple and multiple regression, and non-parametric methods. Credit is not given for ACE 261 if credit for any of ECON 202, CPSC 440, STAT 100, or equivalent has been earned. Prerequisite: MATH 124 or MATH 125.",4 hours.,Quantitative Reasoning I course.,Students must register for one lab-discussion and one lecture section.,ACE261,3.0
